Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-06-18 08:25 (-04),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-06-16 05:53 (-04),223,83,28%,108,14.89,11.17,273,,,
2021-06-18 09:12 (-04),On Demand,Jess King,30,Cycling,Music,30 min 2000s Ride,2021-06-17 19:24 (-04),95,53,28%,74,10.79,5.40,116,,,
2021-06-19 22:57 (EST),On Demand,Ross Rayburn,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2021-06-14 10:00 (EST),,,,,,,,,,
2021-06-25 08:42 (-04),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Hip Hop Ride,2021-06-23 05:53 (-04),133,74,27%,106,14.03,7.01,253,139.16,,
2021-06-26 08:06 (-04),On Demand,Emma Lovewell,45,Cycling,Live DJ,45 min Live DJ Ride,2021-05-14 16:53 (-04),210,78,30%,94,14.34,10.75,474,157.56,,
2021-06-26 08:54 (-04),On Demand,Emma Lovewell,20,Cycling,Music,20 min 90s Hip Hop Ride,2021-06-21 07:50 (-04),67,56,28%,83,11.96,3.99,183,145.24,,
2021-06-26 09:15 (-04),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-04 09:00 (-04),,,,,,,17,92.94,,
2021-06-27 09:25 (EST),On Demand,Adrian Williams,30,Running,Live DJ,30 min Casablanca Records Live DJ Run,2021-06-25 19:19 (EST),,,,,,,263,,,
2021-06-29 08:48 (-04),On Demand,Alex Toussaint,45,Cycling,Music,45 min Hip Hop Ride,2021-06-28 19:25 (-04),219,81,31%,97,14.62,10.96,442,151.34,,
2021-06-29 09:35 (-04),Live,Jess King,20,Cycling,Music,20 min 90s Ride,2021-06-28 17:00 (-04),87,73,30%,91,13.88,4.62,193,149.95,,
2021-07-03 10:36 (CST),On Demand,Chelsea Jackson Roberts,5,Meditation,Mindfulness,5 min AFO Meditation: Alice Coltrane,2021-07-01 17:32 (CST),,,,,,,,,,
2021-07-06 07:39 (-04),On Demand,Adrian Williams,30,Cardio,HIIT,30 min HIIT Cardio,2021-06-17 08:22 (-04),,,,,,,191,120.23,,
2021-07-06 08:14 (-04),On Demand,Kendall Toole,45,Cycling,Music,45 min AFO Ride: Gwen Stefani,2021-07-01 17:49 (-04),214,79,31%,95,14.53,10.90,509,164.16,,
2021-07-07 08:20 (-04),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-06-26 07:22 (-04),288,80,29%,100,14.61,14.61,625,156.44,,
2021-07-09 17:11 (-04),On Demand,Adrian Williams,30,Cardio,Music HIIT,30 min Hip Hop HIIT Cardio,2021-01-07 09:20 (-04),,,,,,,162,,,
2021-07-09 17:48 (-04),On Demand,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,2021-06-29 19:22 (-04),132,73,30%,91,13.92,6.96,281,147.20,,
2021-07-09 18:21 (-04),On Demand,Robin Arzon,20,Cycling,Music,20 min AFO Ride: Daddy Yankee,2021-07-02 08:00 (-04),66,55,27%,86,12.11,4.04,132,123.13,,
2021-07-09 18:42 (-04),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-07-08 09:00 (-04),,,,,,,12,79.88,,
2021-07-10 08:32 (-04),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-07-08 05:54 (-04),295,82,30%,101,14.82,14.82,626,156.63,,
2021-07-11 10:37 (EST),On Demand,Jess King,30,Running,Music,30 min AFO Run: Major Lazer,2021-07-02 11:50 (EST),,,,,,,259,,,
2021-07-15 07:41 (-04),On Demand,Rad Lopez,30,Cardio,HIIT,30 min HIIT Cardio,2021-07-11 09:07 (-04),,,,,,,190,119.53,,
2021-07-15 08:21 (-04),On Demand,Leanne Hainsby,30,Cycling,Music,30 min Spice Girls Ride,2021-07-13 13:25 (-04),147,82,30%,99,14.78,7.39,295,151.52,,
2021-07-15 08:52 (-04),On Demand,Cody Rigsby,20,Cycling,Music,20 min Spotify Monster Dance Hits Ride,2021-07-13 19:24 (-04),43,36,27%,58,8.40,2.80,105,112.23,,
2021-07-17 08:01 (-04),On Demand,Alex Toussaint,45,Cycling,Music,45 min Verzuz Ride,2021-04-26 19:30 (-04),225,83,31%,95,14.84,11.13,453,152.96,,
2021-07-17 08:50 (-04),On Demand,Tunde Oyeneyin,30,Cycling,Music,30 min Hip Hop Ride,2021-07-16 16:54 (-04),84,46,26%,84,11.24,5.62,172,115.57,,
2021-07-17 09:24 (-04),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-13 10:10 (-04),,,,,,,11,,,
2021-07-18 11:05 (EST),On Demand,Becs Gentry,30,Running,Music,30 min Spice Girls Run,2021-07-15 06:54 (EST),,,,,,,266,,,
2021-07-19 17:42 (-04),On Demand,Rad Lopez,30,Cardio,HIIT,30 min HIIT Cardio,2021-07-18 09:38 (-04),,,,,,,161,,,
2021-07-19 18:16 (-04),On Demand,Chelsea Jackson Roberts,30,Yoga,Flow,30 min Funk Yoga Flow,2021-07-12 17:51 (-04),,,,,,,98,,,
2021-07-20 07:23 (-04),On Demand,Olivia Amato,20,Cardio,Music HIIT,20 min BLACKPINK HIIT Cardio,2021-05-13 10:00 (-04),,,,,,,107,,,
2021-07-20 07:47 (-04),On Demand,Jess Sims,20,Cardio,Music HIIT,20 min 90s Hip Hop HIIT Cardio,2021-05-21 08:23 (-04),,,,,,,106,,,
2021-07-20 08:10 (-04),On Demand,Aditi Shah,20,Yoga,Flow,20 min Yoga Flow,2021-07-16 10:00 (-04),,,,,,,67,,,
2021-07-21 18:19 (EST),On Demand,Adrian Williams,30,Running,Live DJ,30 min Live DJ Run,2021-07-16 19:19 (EST),,,,,,,263,,,
2021-07-22 05:43 (-04),On Demand,Selena Samuela,30,Cardio,HIIT,30 min HIIT Cardio,2021-07-19 08:19 (-04),,,,,,,240,134.91,,
2021-07-22 06:16 (-04),On Demand,Adrian Williams,30,Cardio,HIIT,30 min APIHM Celebration HIIT Cardio,2021-05-20 12:24 (-04),,,,,,,160,108.18,,
2021-07-23 07:27 (EST),On Demand,Matt Wilpers,45,Running,Endurance,45 min Endurance Run,2021-06-29 06:52 (EST),,,,,,,36,,,
2021-07-24 07:51 (-04),On Demand,Jess Sims,20,Cardio,HIIT,20 min HIIT Cardio,2021-07-23 08:22 (-04),,,,,,,107,,,
2021-07-24 08:13 (-04),On Demand,Callie Gullickson,20,Cardio,HIIT,20 min HIIT Cardio,2021-07-08 11:42 (-04),,,,,,,107,,,
2021-07-24 08:35 (-04),On Demand,Callie Gullickson,30,Cardio,HIIT,30 min HIIT Cardio,2021-06-24 11:50 (-04),,,,,,,160,,,
2021-07-28 17:29 (-04),On Demand,Callie Gullickson,30,Cardio,HIIT,30 min HIIT Cardio,2021-07-24 09:05 (-04),,,,,,,161,,,
2021-07-28 18:02 (-04),On Demand,Rad Lopez,30,Cardio,HIIT,30 min HIIT Cardio,2021-07-28 08:23 (-04),,,,,,,160,,,
2021-07-30 08:45 (EST),On Demand,Adrian Williams,30,Running,Intervals,30 min Intervals Run,2021-05-23 08:59 (EST),,,,,,,261,,,
2021-08-03 03:09 (MST),On Demand,Anna Greenberg,20,Meditation,Relax & Sleep,20 min Sleep Meditation,2021-06-30 08:00 (MST),,,,,,,,,,
2021-08-05 18:09 (EST),On Demand,Selena Samuela,30,Running,Music,30 min Pop Run,2021-05-23 11:55 (EST),,,,,,,265,,,
2021-08-11 08:07 (EST),On Demand,Matt Wilpers,30,Running,Music,30 min EDM Run,2021-08-10 06:55 (EST),,,,,,,254,,,
2021-08-12 07:52 (-04),On Demand,Callie Gullickson,30,Cardio,HIIT,30 min HIIT Cardio,2021-08-09 10:00 (-04),,,,,,,160,,,
2021-08-12 08:24 (-04),On Demand,Callie Gullickson,30,Cardio,HIIT,30 min HIIT Cardio,2021-07-24 09:05 (-04),,,,,,,161,,,
2021-08-15 09:56 (-04),On Demand,Selena Samuela,30,Cardio,HIIT,30 min HIIT Cardio,2021-07-19 08:19 (-04),,,,,,,160,,,
2021-08-15 10:29 (-04),On Demand,Adrian Williams,30,Cardio,HIIT,30 min HIIT Cardio,2021-04-15 11:53 (-04),,,,,,,162,,,
2021-08-22 10:24 (-04),On Demand,Callie Gullickson,30,Cardio,HIIT,30 min HIIT Cardio,2021-07-24 09:05 (-04),,,,,,,161,,,
2021-08-22 10:57 (-04),On Demand,Matt Wilpers,10,Stretching,Full Body Stretch,10 min AFO Full Body: Thomas Rhett,2021-07-02 08:00 (-04),,,,,,,23,,,
2021-08-25 07:58 (-04),On Demand,Callie Gullickson,30,Cardio,HIIT,30 min HIIT Cardio,2021-08-09 10:00 (-04),,,,,,,160,,,
2021-08-27 07:52 (-04),On Demand,Callie Gullickson,30,Cardio,HIIT,30 min HIIT Cardio,2021-07-24 09:05 (-04),,,,,,,161,,,
2021-08-29 09:52 (-04),On Demand,Adrian Williams,30,Cardio,HIIT,30 min HIIT Cardio,2021-08-26 08:21 (-04),,,,,,,162,,,
2021-08-29 10:24 (-04),On Demand,Rad Lopez,30,Cardio,HIIT,30 min HIIT Cardio,2021-08-28 11:20 (-04),,,,,,,161,,,
2021-08-29 10:56 (-04),On Demand,Matt Wilpers,10,Stretching,Full Body Stretch,10 min AFO Full Body: Thomas Rhett,2021-07-02 08:00 (-04),,,,,,,23,,,
2021-09-02 18:13 (-04),On Demand,Rad Lopez,30,Cardio,HIIT,30 min HIIT Cardio,2021-08-18 08:54 (-04),,,,,,,161,,,
2021-09-03 10:20 (-04),On Demand,Rad Lopez,30,Cardio,HIIT,30 min HIIT Cardio,2021-08-28 11:20 (-04),,,,,,,161,,,
2021-09-08 17:53 (-04),On Demand,Rad Lopez,30,Cardio,HIIT,30 min HIIT Cardio,2021-08-28 11:20 (-04),,,,,,,161,,,
2021-09-08 18:25 (-04),On Demand,Jess Sims,30,Cardio,Family,30 min Fit Family Live,2020-11-26 10:24 (-04),,,,,,,137,,,
2021-09-09 07:54 (-04),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-08-25 07:53 (-04),153,57,24%,105,12.53,9.40,187,,,
2021-09-09 08:42 (-04),On Demand,Jess Sims,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2021-05-03 10:00 (-04),,,,,,,23,,,
2021-09-11 10:21 (EST),On Demand,Marcel Dinkins,20,Running,Theme,20 min Premiere Run,2021-09-03 10:00 (EST),,,,,,,169,,,
2021-09-15 23:10 (EST),On Demand,Chelsea Jackson Roberts,30,Meditation,Relax & Sleep,30 min Deep Relaxation Meditation,2021-09-07 10:00 (EST),,,,,,,,,,
2021-09-16 07:43 (-04),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-07-21 05:52 (-04),158,58,24%,107,12.74,9.56,193,,,
2021-09-18 11:06 (EST),On Demand,Jermaine Johnson,20,Running,Theme,20 min Premiere Run,2021-09-15 13:54 (EST),,,,,,,173,,,
2021-09-19 10:31 (EST),On Demand,Adrian Williams,30,Running,Music,30 min Hip Hop Run,2021-08-07 12:07 (EST),,,,,,,261,,,
2021-09-20 04:17 (-04),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-09-04 07:53 (-04),173,48,22%,103,11.49,11.49,212,,,
2021-09-24 08:42 (CST),On Demand,Marcel Dinkins,30,Running,Music,30 min 90s Run,2021-09-10 15:25 (CST),,,,,,,256,,,
2021-09-27 18:55 (-04),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-09-25 07:53 (-04),159,44,23%,90,10.53,10.53,194,,,
2021-09-27 19:57 (-04),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-08-16 09:00 (-04),,,,,,,11,,,
2021-09-30 18:59 (EST),On Demand,Kirsten Ferguson,30,Running,Music,30 min Hip Hop Run,2021-09-14 10:20 (EST),,,,,,,260,,,
